scenario_id,run,run_path,run_class,git_commit,nav2_status,succeeded,wrapper_trial_exit,wall_duration_s,simulation_duration_s,trajectory_length_m,final_xy_error_m,dynamic_min_clearance_m,script_to_gazebo_error_m,dynamic_service_failures,gazebo_non_ground_contact,gazebo_robot_dynamic_contact,gazebo_contact_pairs,gazebo_robot_dynamic_contact_pairs,dynamic_plot,evidence_complete,failure_reason
S3_diagonal,postfix2_01,experiments/oracle_mppi/gate2/S3_diagonal/postfix2_01,postfix2,bfab28f87d6f66339175c7116159a7b8d2fc1bc3,4,True,0,229.11699361700448,179.89999999999998,24.396408386172055,0.4531884570917547,0.5974627805624368,0.008500919067959365,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S3_diagonal/postfix2_01/dynamic_trajectory_comparison.png,True,
S3_diagonal,recheck_01,experiments/oracle_mppi/gate2/S3_diagonal/recheck_01,recheck,f01235e5dd73e9f8a0fe926af762ff5f4d441d87,,,,,,,,,,,,,(none),(none),,False,dynamic obstacle spawn failure
S3_diagonal,recheck_02,experiments/oracle_mppi/gate2/S3_diagonal/recheck_02,recheck,bfab28f87d6f66339175c7116159a7b8d2fc1bc3,4,True,0,203.78840458199556,160.5,18.275509045898055,0.03890308326420997,1.25239840046689,0.008500919067959365,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S3_diagonal/recheck_02/dynamic_trajectory_comparison.png,True,
S3_diagonal,smoke_01,experiments/oracle_mppi/gate2/S3_diagonal/smoke_01,smoke,770bbd25cbfbfdd12bc18caede4ed2419111817b,4,True,0,168.77577334800299,159.0,18.410322613568034,0.029936997337562873,0.38160344565813353,0.03201562118716419,0,False,True,(none),"collision1: ""oracle_dynamic_obstacle::link::collision"" collision2: ""barrier_center::link::collision",experiments/oracle_mppi/gate2/S3_diagonal/smoke_01/dynamic_trajectory_comparison.png,True,robot-dynamic physical collision
S3_diagonal,smoke_02,experiments/oracle_mppi/gate2/S3_diagonal/smoke_02,smoke,770bbd25cbfbfdd12bc18caede4ed2419111817b,4,True,0,188.6694180400009,149.7,21.2290504947169,0.05998168296090344,2.222450670403441,0.01818274580193954,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S3_diagonal/smoke_02/dynamic_trajectory_comparison.png,True,
S4_stop_go,formal_01,experiments/oracle_mppi/gate2/S4_stop_go/formal_01,formal,079b0e9626f41d969f7e1508aa0f3df8d541693a,4,True,0,212.46578573199804,163.8,18.384959816477945,0.06348502551501167,0.7993988858061487,0.017000000000000237,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S4_stop_go/formal_01/dynamic_trajectory_comparison.png,True,
S4_stop_go,formal_02,experiments/oracle_mppi/gate2/S4_stop_go/formal_02,formal,079b0e9626f41d969f7e1508aa0f3df8d541693a,4,True,0,436.2915267369972,338.0,24.543915080199348,0.023541149282657364,0.0,0.017000000000000237,0,True,True,"collision1: ""waffle::base_link::base_collision"" collision2: ""crate_west_north::link::collision"";collision1: ""waffle::base_link::base_collision"" collision2: ""oracle_dynamic_obstacle::link::collision"";collision1: ""waffle::wheel_right_link::wheel_right_collision"" collision2: ""oracle_dynamic_obstacle::link::collision""","collision1: ""waffle::base_link::base_collision"" collision2: ""oracle_dynamic_obstacle::link::collision"";collision1: ""waffle::wheel_right_link::wheel_right_collision"" collision2: ""oracle_dynamic_obstacle::link::collision""",experiments/oracle_mppi/gate2/S4_stop_go/formal_02/dynamic_trajectory_comparison.png,True,robot-dynamic physical collision
S4_stop_go,formal_03,experiments/oracle_mppi/gate2/S4_stop_go/formal_03,formal,079b0e9626f41d969f7e1508aa0f3df8d541693a,,,,,,,,,,,,,(none),(none),,False,Nav2 startup/lifecycle readiness failure
S4_stop_go,formal_04,experiments/oracle_mppi/gate2/S4_stop_go/formal_04,formal,079b0e9626f41d969f7e1508aa0f3df8d541693a,4,True,0,215.79297501800465,167.5,18.326753007778372,0.03946628416589054,0.5759072108178707,0.017000000000000237,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S4_stop_go/formal_04/dynamic_trajectory_comparison.png,True,
S4_stop_go,formal_05,experiments/oracle_mppi/gate2/S4_stop_go/formal_05,formal,f01235e5dd73e9f8a0fe926af762ff5f4d441d87,4,True,0,205.2433387679921,158.9,17.602178122164773,0.02849787446968606,0.3917495673000947,0.017000000000000237,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S4_stop_go/formal_05/dynamic_trajectory_comparison.png,True,
S4_stop_go,postfix2_01,experiments/oracle_mppi/gate2/S4_stop_go/postfix2_01,postfix2,bfab28f87d6f66339175c7116159a7b8d2fc1bc3,4,True,0,191.77649509700132,180.9,26.576909518028174,0.3052470080706284,0.0,0.017000000000000237,0,True,True,"collision1: ""waffle::base_link::base_collision"" collision2: ""oracle_dynamic_obstacle::link::collision"";collision1: ""waffle::wheel_right_link::wheel_right_collision"" collision2: ""oracle_dynamic_obstacle::link::collision""","collision1: ""waffle::base_link::base_collision"" collision2: ""oracle_dynamic_obstacle::link::collision"";collision1: ""waffle::wheel_right_link::wheel_right_collision"" collision2: ""oracle_dynamic_obstacle::link::collision""",experiments/oracle_mppi/gate2/S4_stop_go/postfix2_01/dynamic_trajectory_comparison.png,True,robot-dynamic physical collision
S4_stop_go,recheck_01,experiments/oracle_mppi/gate2/S4_stop_go/recheck_01,recheck,f01235e5dd73e9f8a0fe926af762ff5f4d441d87,4,True,0,251.56138023200037,169.8,18.42360938837127,0.03166449037286344,0.8861661065441166,0.017000000000000237,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S4_stop_go/recheck_01/dynamic_trajectory_comparison.png,True,
S4_stop_go,smoke_01,experiments/oracle_mppi/gate2/S4_stop_go/smoke_01,smoke,770bbd25cbfbfdd12bc18caede4ed2419111817b,4,True,0,207.48394548500073,162.4,18.316364639902602,0.03372287282139753,0.6352588089149946,0.017000000000000237,0,False,False,(none),(none),experiments/oracle_mppi/gate2/S4_stop_go/smoke_01/dynamic_trajectory_comparison.png,True,
