sim_stamp_s,wall_monotonic_s,linear_x_mps,linear_y_mps,angular_z_rps
1787877227.387082100,67757.676665253,0.033142339,0.000000000,0.010393885
1787877227.486922264,67757.776505981,0.070683941,0.000000000,0.026864097
1787877227.586746693,67757.876341151,0.109478973,0.000000000,0.040820971
1787877227.686850548,67757.976441494,0.141344935,0.000000000,0.048973404
1787877227.786917448,67758.076507770,0.166278630,0.000000000,0.051122513
1787877227.886909485,67758.176497139,0.184943765,0.000000000,0.051691692
1787877227.986822605,67758.276408401,0.199104130,0.000000000,0.054054990
1787877228.086806059,67758.376413007,0.209928960,0.000000000,0.059417311
1787877228.186870813,67758.476479881,0.218542755,0.000000000,0.066794865
1787877228.286702394,67758.576305185,0.225499824,0.000000000,0.074866585
1787877228.386953831,67758.676536589,0.231870785,0.000000000,0.099681616
1787877228.486761808,67758.776341438,0.238333121,0.000000000,0.104298480
1787877228.586741924,67758.876337832,0.243450403,0.000000000,0.107932284
1787877228.686757088,67758.976340060,0.246265888,0.000000000,0.108303159
1787877228.786703587,67759.076282777,0.247977480,0.000000000,0.110386528
1787877228.886969566,67759.176555513,0.249345660,0.000000000,0.112326182
1787877228.986814022,67759.276405555,0.250453174,0.000000000,0.113332659
1787877229.086706638,67759.376292789,0.251466304,0.000000000,0.112789229
1787877229.186893225,67759.476475539,0.252788782,0.000000000,0.128124818
1787877229.286945820,67759.576527283,0.255329758,0.000000000,0.124088444
1787877229.386840820,67759.676434815,0.257694781,0.000000000,0.118745521
1787877229.486854315,67759.776438567,0.257694781,0.000000000,0.118745521
1787877229.586824894,67759.876404471,0.258700460,0.000000000,0.105848968
1787877229.686705112,67759.976281835,0.258346170,0.000000000,0.119610988
1787877229.787055016,67760.076669657,0.259913385,0.000000000,0.115651615
1787877229.886884689,67760.176482592,0.260000000,0.000000000,0.110483363
1787877229.987006664,67760.276587216,0.260000000,0.000000000,0.121290393
1787877230.086883783,67760.376494508,0.260000000,0.000000000,0.134903416
1787877230.186690569,67760.476282992,0.260000000,0.000000000,0.148997650
1787877230.286703825,67760.576302429,0.260000000,0.000000000,0.142949000
1787877230.386970520,67760.676537969,0.260000000,0.000000000,0.133791119
1787877230.486812830,67760.776405127,0.260000000,0.000000000,0.141794622
1787877230.586801291,67760.876395851,0.260000000,0.000000000,0.136269659
