segment,segment_name,wall_time,wall_elapsed_s,sim_time,x,y,yaw
1,M->N,1787462412.0366354,0.007314063026569784,34.519,-8.498901426176076,1.8033578422506173e-07,0.0009761076919297069
1,M->N,1787462414.1982186,2.1688967689988203,36.253,-8.48805464281235,5.4735784742956865e-06,-0.0005726846371713324
1,M->N,1787462414.2111802,2.1818581860279664,36.321,-8.476266887044082,-1.8820261314420744e-05,-0.004734969909740397
1,M->N,1787462414.222938,2.19361580000259,36.389,-8.459851573766178,-0.00013037260595174385,-0.010070850125602786
1,M->N,1787462414.4407015,2.411381022015121,36.525,-8.421758057236982,-0.0008088171296674338,-0.030135153333856267
1,M->N,1787462414.454339,2.42501704901224,36.593,-8.402682999118003,-0.0014756314128400892,-0.04336769055012404
1,M->N,1787462414.8755655,2.8462437560083345,36.831,-8.336018149382408,-0.0059916311983518565,-0.09707741182766871
1,M->N,1787462414.8907852,2.861463180044666,36.899,-8.31702267242949,-0.007956816486301668,-0.11352352060600976
1,M->N,1787462414.9036345,2.874312179046683,36.967,-8.298061162447443,-0.010237921393364586,-0.13050404126982648
1,M->N,1787462415.0467317,3.0174101950251497,37.069,-8.269698448404212,-0.014269143844062233,-0.15654615070244313
1,M->N,1787462415.537688,3.508366198046133,37.341,-8.194688256972082,-0.028699950671134004,-0.23069546877730826
1,M->N,1787462415.5505464,3.5212241890258156,37.409,-8.17612190883617,-0.03321172873717875,-0.25174312174911134
1,M->N,1787462415.561915,3.532592560048215,37.477,-8.157655379098314,-0.03811512359379793,-0.2729752364229799
1,M->N,1787462416.0496724,4.020350662001874,37.749,-8.084957021528208,-0.06157442107054848,-0.356052251702442
1,M->N,1787462416.0627892,4.033466980035882,37.817,-8.06710792655989,-0.06836494265170091,-0.3760910937947343
1,M->N,1787462416.0738819,4.0445593490148894,37.885,-8.04939976378318,-0.07550915556018348,-0.39577974198607124
1,M->N,1787462416.6389863,4.609664080024231,38.191,-7.971546044809455,-0.11176828601591654,-0.47911233679806003
1,M->N,1787462416.651938,4.622615797037724,38.259,-7.954667449260335,-0.12067957888785083,-0.4965460710808742
1,M->N,1787462416.662443,4.633120336045977,38.327,-7.937947290103874,-0.12988101151570555,-0.5135522148116383
1,M->N,1787462416.6716828,4.642360281024594,38.395,-7.921385887369823,-0.1393609909035672,-0.529981634128375
1,M->N,1787462417.1621807,5.132858409022447,38.667,-7.856702989621167,-0.17983550713998717,-0.5904292927073883
1,M->N,1787462417.9980102,5.968688264023513,39.109,-7.756682389699997,-0.25301458602207166,-0.6741804227586278
1,M->N,1787462418.0118256,5.982503648032434,39.177,-7.741845584198957,-0.2649985041977245,-0.6874361423416357
1,M->N,1787462418.0233305,5.994008393026888,39.245,-7.727169369641097,-0.2771786127849959,-0.7007593396935277
1,M->N,1787462418.0334237,6.0041013460140675,39.313,-7.712656939795383,-0.28955340672456603,-0.7140874230021654
1,M->N,1787462418.042453,6.013130422041286,39.381,-7.698310839416791,-0.302120511402846,-0.7273850565262782
1,M->N,1787462418.0504217,6.021098999015521,39.449,-7.684133212419593,-0.314877098274232,-0.7406423647821002
1,M->N,1787462418.0575137,6.028190840035677,39.517,-7.670125933448008,-0.3278203062581297,-0.7538506112312042
1,M->N,1787462418.0639558,6.0346332040498964,39.585,-7.656290730629143,-0.34094681273561145,-0.7669913954176903
1,M->N,1787462418.5532496,6.523927878006361,39.857,-7.602697369787754,-0.3952204756143757,-0.8186022117753534
1,M->N,1787462419.1848333,7.155511070042849,40.231,-7.533576400917695,-0.47407955217469233,-0.8846771458951059
1,M->N,1787462419.1977303,7.1684082060237415,40.299,-7.521563543518366,-0.48888702435603076,-0.8957314250952363
1,M->N,1787462419.2096276,7.180305056041107,40.367,-7.509712816014189,-0.5038234672030448,-0.9063549219024111
1,M->N,1787462419.899314,7.869991344050504,40.741,-7.447204441695618,-0.5879867171101355,-0.9568588079938168
1,M->N,1787462419.9068975,7.877575113030616,40.809,-7.43627209505521,-0.6036003833164558,-0.9642838814444281
1,M->N,1787462419.9136364,7.884313868009485,40.877,-7.425451937526049,-0.6192903626947726,-0.9710385972382221
1,M->N,1787462419.9193544,7.890031707996968,40.945,-7.414736066711139,-0.635050084034763,-0.9773383410206715
1,M->N,1787462419.9934173,7.964095470029861,41.047,-7.398840772623437,-0.6588062261497439,-0.9856617068729654
1,M->N,1787462420.3575497,8.328231232007965,41.285,-7.362415260461628,-0.7146560789257782,-0.9993971827447631
1,M->N,1787462420.5018754,8.472553918021731,41.387,-7.347000776984859,-0.7387107400271541,-1.0026248041124737
1,M->N,1787462420.6489522,8.619631069013849,41.489,-7.331650684138156,-0.7628040488135982,-1.0044057201039653
1,M->N,1787462420.6620362,8.63271405204432,41.557,-7.32143562833402,-0.7788763804548811,-1.0048408364848271
1,M->N,1787462420.810309,8.78098687203601,41.693,-7.301004969813548,-0.8110142932993253,-1.0036495253382869
1,M->N,1787462422.2653074,10.235985379025806,42.441,-7.185252503730158,-0.985415339335481,-0.9544285127512483
1,M->N,1787462422.2791982,10.24987586599309,42.509,-7.17420963582831,-1.0009066738318662,-0.9471621387099909
1,M->N,1787462422.2909567,10.26163446099963,42.577,-7.163053025905229,-1.0163154921005575,-0.9395963004598401
1,M->N,1787462422.301413,10.27209068502998,42.645,-7.151778586078442,-1.031637258340633,-0.931718033921027
1,M->N,1787462422.3099215,10.280599955993239,42.713,-7.140383222287642,-1.0468684322174617,-0.9236571469031438
1,M->N,1787462422.3187888,10.289466081012506,42.781,-7.128864469540249,-1.0620054547948494,-0.9153693488377326
1,M->N,1787462422.3264425,10.297120052040555,42.849,-7.117219702002643,-1.0770453313122765,-0.906905244304441
1,M->N,1787462422.3332787,10.303956049028784,42.917,-7.1054470095563635,-1.0919856038174445,-0.8982950445169907
1,M->N,1787462422.3391833,10.309860726993065,42.985,-7.093545064051802,-1.1068237798344287,-0.8895419791180388
1,M->N,1787462422.4103405,10.381018574000336,43.053,-7.081512805501573,-1.121556664893477,-0.8806495869873082
1,M->N,1787462423.043199,11.013876962009817,43.427,-7.012992988512575,-1.2005950654169348,-0.8305037099644663
1,M->N,1787462423.0556722,11.026349874038715,43.495,-7.000111549040035,-1.2145893504190521,-0.8212780672294412
1,M->N,1787462423.1985955,11.169274014013354,43.597,-6.980548608294197,-1.2353564720517072,-0.8073912500055836
1,M->N,1787462424.0287862,11.999464004009496,44.039,-6.892513383904991,-1.3221396815682278,-0.747425570303547
1,M->N,1787462424.0413752,12.012052937003318,44.107,-6.878515576033848,-1.3350189232824388,-0.7383593324873907
1,M->N,1787462424.0528016,12.02347939502215,44.175,-6.864401964105431,-1.3477713233010016,-0.7293673019807445
1,M->N,1787462424.062679,12.033356360043399,44.243,-6.850174566579728,-1.3603969813199357,-0.7204619119705205
1,M->N,1787462424.1398666,12.110544410999864,44.345,-6.828625425166593,-1.3790990900986666,-0.7073404144228503
1,M->N,1787462424.2887487,12.259426599019207,44.481,-6.799519078155015,-1.4035982903136093,-0.6903267143492514
1,M->N,1787462424.7781932,12.748872250027489,44.753,-6.740114521919258,-1.4511478137793141,-0.658544218879412
1,M->N,1787462424.791098,12.76177614403423,44.821,-6.7250340987121895,-1.4627466644497271,-0.6511712366882179
1,M->N,1787462424.802985,12.773662724008318,44.889,-6.7098690764584275,-1.474235893382783,-0.6440523380432503
1,M->N,1787462425.4258873,13.396565178001765,45.229,-6.632912147023563,-1.5301657312294892,-0.6127432580200839
1,M->N,1787462425.4394858,13.410164065018762,45.297,-6.617322082058936,-1.5410765336531322,-0.6073366573378723
1,M->N,1787462425.4499362,13.420614477014169,45.365,-6.601673738486237,-1.5519042049601208,-0.602171360738742
1,M->N,1787462425.5276477,13.498326696048025,45.467,-6.578098961777246,-1.5679996794155397,-0.5949781886183497
1,M->N,1787462426.1502244,14.120902558031958,45.807,-6.498762329409941,-1.6205532161404845,-0.57520855487776
1,M->N,1787462426.162767,14.13344462600071,45.875,-6.482777654437242,-1.6308870539743963,-0.5718498746846252
1,M->N,1787462426.1746423,14.145321109041106,45.943,-6.466758780407616,-1.6411679897901919,-0.5686359729145978
