wall_time,wall_elapsed_s,sim_time,x,y,yaw
1787843281.8750303,0.06892124100704677,42.0,8.501277218757403,3.7797850650081165e-07,0.0011495404338373052
1787843287.6799731,5.87386345500272,46.7,8.499482933770873,-0.010997342372237897,-2.085379427993315
1787843287.8226964,6.016588276004768,46.8,8.49263011803342,-0.022517052090302785,-2.1324057452545855
1787843288.0281625,6.222054088000732,46.9,8.485072096509333,-0.03409013968198119,-2.1719940079720086
1787843288.2358596,6.429750692004745,47.1,8.476892206956885,-0.04560102125006342,-2.213036427573906
1787843288.320895,6.514785269006097,47.2,8.468302973258503,-0.05677278039152526,-2.240765671590173
1787843288.3424275,6.536317390004115,47.2,8.459149641473115,-0.06800609043404965,-2.2753628602652034
1787843288.4242926,6.618183281003439,47.3,8.449497197323973,-0.07894404017957186,-2.3174922532634175
1787843288.5677385,6.761629384003754,47.4,8.439234681077721,-0.08964331655001263,-2.3586816811488234
1787843288.7051618,6.899052756001765,47.5,8.432013221084322,-0.0966653736390063,-2.386619519416672
1787843288.8428075,7.036698073003208,47.6,8.424523264215615,-0.10355335605384738,-2.4140055735508414
1787843288.9800892,7.17397983900446,47.7,8.416747991432432,-0.11032392182358401,-2.440613681936963
1787843288.9947538,7.18864464800572,47.8,8.40863240089891,-0.11702352698821364,-2.466383659103324
1787843289.0690622,7.262953047000337,47.8,8.400261792553556,-0.12358272498109266,-2.491322574600649
1787843289.1443603,7.33825054600311,47.9,8.391593932898708,-0.13003680882896,-2.5154685630198617
1787843289.2809622,7.474853422005253,47.9,8.382708205832856,-0.13632864208426385,-2.538875317974769
1787843289.41802,7.611910943000112,48.0,8.373501391887585,-0.14253415727846402,-2.561604046705526
1787843289.5575805,7.751471941002819,48.1,8.364033956565462,-0.14860980197172577,-2.583716039584928
1787843289.6354194,7.829309961001854,48.3,8.35434504934488,-0.15453290652391458,-2.6052713346375036
1787843289.6472514,7.841141870005231,48.3,8.345169061680018,-0.159878698881657,-2.6256696401936876
1787843289.6580663,7.85195655800635,48.3,8.336287029209739,-0.16483006577797366,-2.6451961486055673
1787843289.672778,7.8666685550051625,48.3,8.324522245567191,-0.17102424172844943,-2.6700426540228057
1787843289.8761206,8.070011496005463,48.4,8.312380146055775,-0.17706572426172906,-2.692728685552805
1787843289.9592972,8.153188444004627,48.5,8.299938712496818,-0.18289149798840257,-2.7161114550614256
1787843290.0956473,8.289538036005979,48.6,8.29060458559262,-0.1870252554658233,-2.7361757911289932
1787843290.2336624,8.427553789006197,48.7,8.27917989160512,-0.19181049113346627,-2.755379449842798
1787843290.3108404,8.504731200002425,48.8,8.266107677867657,-0.19706373289338647,-2.763196394569163
1787843290.386997,8.580887695003184,48.9,8.253405089373427,-0.20214278422060053,-2.7553313066065006
1787843290.4615216,8.655413211999985,48.9,8.24101412373053,-0.20726965352077298,-2.739520331057654
1787843290.5995467,8.793437181004265,49.0,8.228757646603873,-0.2125995302508094,-2.7188486374698777
1787843290.7360232,8.929914079002629,49.1,8.216264490676842,-0.21835164055471867,-2.697579811241891
1787843290.8735712,9.067462063001585,49.2,8.203771790688897,-0.22443524730608083,-2.676176272883637
1787843291.010583,9.204473733007035,49.3,8.191115396566897,-0.23092613147303925,-2.6553372010430354
1787843291.1484187,9.342309625004418,49.4,8.178605954915025,-0.23768416108292037,-2.6333917522863777
1787843291.1638536,9.35774435800704,49.5,8.166286140280585,-0.24467001995447668,-2.615410401468225
1787843291.1747057,9.368596092004736,49.5,8.154037001771277,-0.2519147388042067,-2.596182103837648
1787843291.184152,9.378042414005904,49.5,8.141936868790467,-0.2593936797232536,-2.5765560603579076
1787843291.1934364,9.387326624004345,49.5,8.129972320880652,-0.2671084776566363,-2.5594388951691203
1787843291.2645185,9.458408861006319,49.5,8.118181650454828,-0.2749831177441869,-2.544965542247885
1787843291.4017186,9.5956089990068,49.6,8.106566942525973,-0.28292776335651215,-2.536650469695303
1787843291.5413034,9.735194053006126,49.7,8.094795042699806,-0.29112193827767996,-2.528163614097207
1787843291.6786656,9.872556518006604,49.8,8.08346478720394,-0.2991940266516514,-2.514606027883644
1787843291.8172243,10.011114880006062,49.9,8.072087801387768,-0.3075527765699725,-2.500848461680905
1787843291.953923,10.147813777002739,50.1,8.060829366286278,-0.31604615003138836,-2.4874832565051563
1787843292.0293386,10.223229361006815,50.2,8.048954905873776,-0.3252377693786366,-2.475028573200333
1787843292.0423365,10.236227032000897,50.2,8.037930778429235,-0.33402341379483086,-2.463907664815935
1787843292.053477,10.24736726500123,50.2,8.024438129559083,-0.3449915662029025,-2.4536615955990233
1787843292.0638893,10.257779606006807,50.2,8.009903735423332,-0.357018608878076,-2.442928039280409
1787843292.0731966,10.267086582003685,50.2,7.995583510067793,-0.3691975283396107,-2.4317444600900853
1787843292.2090585,10.402949243005423,50.3,7.98130696623854,-0.38155545168257293,-2.4210569537323137
1787843292.3481026,10.541993250000814,50.4,7.966997969581697,-0.39420181922089786,-2.410820683791959
1787843292.4854655,10.679356685002858,50.5,7.952678040075791,-0.40719330191408826,-2.4017653508318935
1787843292.563755,10.757645416000742,50.6,7.939001024125899,-0.41976111823697604,-2.392378401382776
1787843292.6387289,10.832620158005739,50.6,7.925319224832727,-0.43252476144156554,-2.3868785688175853
1787843292.7765756,10.970466414000839,50.7,7.911460246941126,-0.4456626071985142,-2.3818022400213716
1787843292.9143293,11.108219964000455,50.8,7.8978659338797295,-0.4585897634938963,-2.3769653250199845
1787843293.0521426,11.246033099007036,50.9,7.884068603235137,-0.47187691866271425,-2.372690732982423
1787843293.1901288,11.384019522003655,51.0,7.870833470768492,-0.48472702012667473,-2.3705766902914203
1787843293.2045588,11.398449256004824,51.1,7.857560905681785,-0.4976002056626602,-2.3718762416731267
1787843293.2162323,11.41012247200706,51.1,7.844030339600733,-0.5106787889830323,-2.37419452350636
1787843293.2263634,11.420253470001626,51.1,7.830689004534906,-0.5235487266913144,-2.376930911804676
1787843293.2313502,11.425240504002431,51.1,7.823417813313215,-0.5305282702570704,-2.3773134258016193
1787843293.3027923,11.496683233002841,51.1,7.809684706871506,-0.543713489364807,-2.374266549563537
1787843293.316582,11.510471987006895,51.2,7.796204285777098,-0.5566899426812979,-2.375522268429164
1787843293.4524777,11.646368420006183,51.2,7.782526238157508,-0.5697702036969308,-2.3814002709063913
1787843293.5925984,11.786489897000138,51.3,7.768708767438953,-0.5828890227269613,-2.3874877126153584
1787843293.6701245,11.864015291001124,51.4,7.754676340433116,-0.5959677580905349,-2.3937662343263217
1787843293.8089986,12.002889670002332,51.5,7.740196127895336,-0.6093746816218675,-2.3996873436900454
1787843293.8868222,12.08071276100236,51.6,7.725961912729229,-0.622317928368637,-2.402928207427435
1787843293.8999019,12.093792096005927,51.6,7.714154929590429,-0.6330033771970576,-2.4080401902672524
1787843294.0367475,12.230638266002643,51.7,7.7034321010352675,-0.6425970794525855,-2.416912612755975
1787843294.1740553,12.367945988000429,51.8,7.692871844358801,-0.6518759828186845,-2.426808381617576
1787843294.1886883,12.382578796001326,51.8,7.682412532737648,-0.6609523634190204,-2.4375517994399276
1787843294.3255055,12.519396974006668,51.9,7.672612946101661,-0.6691338651210873,-2.4482610627925356
1787843294.4031265,12.59701759100426,52.0,7.662037093904314,-0.6778861606612402,-2.456516692654463
1787843294.5406585,12.734549895001692,52.1,7.651820477603793,-0.6861978048637368,-2.465330461141757
1787843294.557529,12.75141972500569,52.1,7.641361400095975,-0.6944596569503944,-2.4761660351147525
