segment,segment_name,wall_time,wall_elapsed_s,sim_time,x,y,yaw
4,C到D,1787331184.9041827,0.0,205.081,-4.913695742655493,4.006683133580778,-3.126275210433513
4,C到D,1787331193.9300275,4.17082769901026,211.065,-4.926829013776435,3.985501275449496,-2.043105544743463
4,C到D,1787331194.4937618,4.734561673016287,211.405,-4.945611399764744,3.9450558009629915,-1.9533951440331805
4,C到D,1787331194.5126677,4.753467169008218,211.507,-4.95050729059557,3.9323292740409515,-1.9196336716935112
4,C到D,1787331194.6652489,4.9060486819944344,211.677,-4.957873466667641,3.910835063345513,-1.8782498933409173
4,C到D,1787331195.0157473,5.256547037977725,211.881,-4.9654571163822,3.884157882463164,-1.8080851097275328
4,C到D,1787331195.2313643,5.472164070000872,212.017,-4.969629716495109,3.865639090483889,-1.7738153905617815
4,C到D,1787331195.2492967,5.490096078021452,212.119,-4.9723601167870966,3.8515763617166248,-1.7474037920759222
4,C到D,1787331195.8826985,6.1234984080074355,212.527,-4.978951178307294,3.792680630854927,-1.620085209099653
4,C到D,1787331195.899214,6.140018742997199,212.595,-4.979383289735824,3.7824355207606173,-1.6004714741395702
4,C到D,1787331195.91117,6.151969543017913,212.663,-4.979615302911061,3.772078390236649,-1.5806269762814231
4,C到D,1787331196.4000905,6.640890685026534,212.969,-4.977838557743812,3.723738232639278,-1.4790079538455434
4,C到D,1787331196.612001,6.852801101980731,213.105,-4.975314556570114,3.701879217446065,-1.4245492739264065
4,C到D,1787331196.6255195,6.866319544031285,213.173,-4.973456497941979,3.6901130059717864,-1.3969604692188742
4,C到D,1787331196.7026298,6.943430192011874,213.241,-4.971238627635153,3.678201303734505,-1.37028138337715
4,C到D,1787331196.992165,7.232965008006431,213.445,-4.962155404119371,3.6404002935342215,-1.2973095003763335
4,C到D,1787331197.4214602,7.662260117009282,213.717,-4.943658666436059,3.584348615486308,-1.1978894626381233
4,C到D,1787331197.4353406,7.676140220020898,213.785,-4.937122440441194,3.5681432907250055,-1.1733440220863838
4,C到D,1787331197.4459467,7.686745997983962,213.853,-4.929627865809071,3.550677442570876,-1.1533038784915262
4,C到D,1787331198.0067043,8.24750454799505,214.193,-4.885979865995863,3.466113505200739,-1.040537042137116
4,C到D,1787331198.0189435,8.25974300398957,214.261,-4.876272002164482,3.449764325572329,-1.0253672102115439
4,C到D,1787331198.0298994,8.2706988400314,214.329,-4.86627928993456,3.4335953487282724,-1.0041511766250426
4,C到D,1787331198.0395226,8.280321928032208,214.397,-4.855915110523633,3.4176287758287667,-0.9811027649882177
