segment,segment_name,wall_time,wall_elapsed_s,sim_time,x,y,yaw
2,A到B,1787483428.2558362,123.89726115798112,280.537,1.0783563720345997,4.20299340221607,1.6251882497714512
2,A到B,1787483428.3331563,123.97458146401914,280.639,1.0766072365164485,4.231694746056139,1.641984569466619
2,A到B,1787483428.4793553,124.12078093900345,280.775,1.0734740129234783,4.269582544674837,1.666156528569435
2,A到B,1787483428.552774,124.19419871101854,280.843,1.07159272309194,4.28846665842081,1.677256007627266
2,A到B,1787483428.7017124,124.34313737100456,280.979,1.0672923049003564,4.326003207711429,1.6933414649499445
2,A到B,1787483428.7750494,124.41647482599365,281.047,1.0649077806004488,4.34479705843632,1.7028261561216065
2,A到B,1787483428.9242432,124.56566830998054,281.183,1.0596341767237127,4.38218829444875,1.7193946722430935
2,A到B,1787483429.402739,125.044164129009,281.455,1.0472738088811744,4.457004662461738,1.7590417528748301
2,A到B,1787483429.4147286,125.0561535070301,281.523,1.0442725781044544,4.472551968489357,1.7665690425901013
2,A到B,1787483429.4253454,125.06677044800017,281.591,1.041393534867007,4.48684005274544,1.7743667149481506
2,A到B,1787483429.4347148,125.0761393540306,281.659,1.0384948741084317,4.500654533562411,1.7831249603811241
2,A到B,1787483429.443071,125.08449540397851,281.727,1.0353091230541545,4.515142886842132,1.7940363540479232
2,A到B,1787483429.4508302,125.09225471602986,281.795,1.0318539828394437,4.530059304114834,1.8023072642941131
2,A到B,1787483429.7259867,125.3674120369833,281.965,1.0207601938755744,4.575784580037778,1.823902876597279
2,A到B,1787483429.8057797,125.44720472901827,282.067,1.0132997955150422,4.603415194950702,1.84865967383186
2,A到B,1787483429.949558,125.59098312398419,282.169,1.0051499651626734,4.63083430457754,1.8748563401994762
2,A到B,1787483430.0908,125.73222544498276,282.271,0.9963085216218962,4.657993772556896,1.8998778070137374
2,A到B,1787483430.1030178,125.7444430720061,282.339,0.9900201095950131,4.676073113868407,1.9160477039932875
2,A到B,1787483430.1812189,125.82264385098824,282.441,0.9824829614550666,4.696554304924161,1.9302489189412182
2,A到B,1787483430.4605658,126.10199071100214,282.645,0.9680985978228528,4.733450791340478,1.9644275884509155
2,A到B,1787483430.5395184,126.18094323202968,282.747,0.9603263837617405,4.7516957826744495,1.9849484397177177
2,A到B,1787483431.0308251,126.67225053498987,283.053,0.9361342245455716,4.803042554564342,2.028871973944252
2,A到B,1787483431.0419412,126.6833657840034,283.121,0.9309420014460374,4.813513677831294,2.036478044406516
2,A到B,1787483431.0521595,126.6935841459781,283.189,0.9255491618420582,4.824097186557067,2.051373425503079
2,A到B,1787483431.0611193,126.70254368701717,283.257,0.9200173224039051,4.834556833893465,2.0668297301967127
2,A到B,1787483431.069385,126.71080943098059,283.325,0.914321458399263,4.844931207692898,2.082299560528793
2,A到B,1787483431.0766528,126.71807729901047,283.393,0.9084792050749791,4.855192252374008,2.096173812134223
2,A到B,1787483431.352131,126.9935557860299,283.563,0.8931654792660697,4.880628392772104,2.1329246524133683
2,A到B,1787483431.4995694,127.14099437801633,283.699,0.882049115240706,4.898112785766518,2.140180429693109
2,A到B,1787483431.5727983,127.21422321599675,283.767,0.8764157805654043,4.906843727215526,2.1496648128531874
2,A到B,1787483431.7141566,127.35558173299069,283.869,0.8675920398022625,4.920236815500562,2.156824900044476
2,A到B,1787483431.8555012,127.49692612502258,283.971,0.8586429671324298,4.933671580254066,2.1612222553432128
2,A到B,1787483431.8667226,127.50814731302671,284.039,0.8529106529584157,4.942244588383996,2.1605131302062475
