case,run,start_x_m,start_y_m,goal_x_m,goal_y_m,goal_yaw_rad,wrapper_exit,nav2_status,succeeded,wall_duration_s,simulation_duration_s,trajectory_length_m,gazebo_trajectory_length_m,final_xy_error_m,gazebo_non_ground_contact,gazebo_contact_pairs,profile,nav2_params,control_samples,control_mean_period_s,control_p95_period_s,control_max_period_s,control_p95_frequency_hz,control_p95_period_ratio_to_expected,rosbag_present
case_A_to_B,01,-8.5,0.0,8.5,0.0,0.0,0,4,true,93.35352589399554,75.7,18.152708589287,18.164501244437485,0.3547766449339354,false,"(none)",reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,943,0.10000112760345395,0.10025951862335204,0.1015925407409668,9.974115313247514,1.0025951862335203,true
case_A_to_B,02,-8.5,0.0,8.5,0.0,0.0,0,4,true,206.98344098099915,166.0,18.367788681758068,18.374136011704493,0.05163506252386989,false,"(none)",reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,2092,0.09937961189328398,0.10027050971984863,0.13276314735412598,9.973022006110828,1.0027050971984863,true
case_A_to_B,03,-8.5,0.0,8.5,0.0,0.0,0,4,true,217.68562873799965,175.9,18.385296498220786,18.38444854793472,0.07137207302416322,false,"(none)",reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,2202,0.09931961290947906,0.10027861595153809,0.10294270515441895,9.97221581601478,1.0027861595153809,true
case_B_to_A,01,8.5,0.0,-8.5,0.0,3.141592653589793,0,4,true,237.41240355300397,171.8,18.93150502180444,18.925838793109218,0.06274221711638557,false,"(none)",reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,2399,0.099417324261033,0.10024446249008179,0.11635994911193848,9.975613367161705,1.0024446249008179,true
case_B_to_A,02,8.5,0.0,-8.5,0.0,3.141592653589793,0,4,true,111.07604797300155,90.00000000000001,19.22560521872699,19.231926971894804,0.21105232785513747,false,"(none)",reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,1121,0.10000109842845371,0.10028083324432373,0.1022641658782959,9.97199532201338,1.0028083324432373,true
case_B_to_A,03,8.5,0.0,-8.5,0.0,3.141592653589793,0,4,true,97.7384740990019,78.39999999999999,18.29095889460873,18.288214000157485,0.37879010783686234,false,"(none)",reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,988,0.1000013315206603,0.10025033950805665,0.10383725166320801,9.975028562567957,1.0025033950805664,true
