segment,segment_name,wall_time,wall_elapsed_s,sim_time,x,y,yaw
1,M->N,1788163132.1104174,0.06937642197590321,40.4,-4.0,-1.8924400000006387,0.0
1,M->N,1788163132.2546406,0.21359970496268943,40.5,-4.0,-1.9046800000006434,0.0
1,M->N,1788163132.396149,0.3551083899801597,40.6,-4.0,-1.916920000000648,0.0
1,M->N,1788163132.5376816,0.4966417590039782,40.7,-4.0,-1.9291600000006528,0.0
1,M->N,1788163132.613513,0.5724719379795715,40.7,-4.0,-1.9414000000006575,0.0
1,M->N,1788163132.7512434,0.7102025939966552,40.8,-4.0,-1.9536400000006622,0.0
1,M->N,1788163132.766618,0.7255768199684098,40.9,-4.0,-1.9658800000006669,0.0
1,M->N,1788163132.8410873,0.8000464849756099,40.9,-4.0,-1.9781200000006716,0.0
1,M->N,1788163132.979978,0.9389373859739862,41.0,-4.0,-1.9903600000006763,0.0
1,M->N,1788163133.1275597,1.0865186679875478,41.1,-4.0,-2.002600000000678,0.0
1,M->N,1788163133.1427002,1.1016587850172073,41.2,-4.0,-2.0148400000006674,0.0
1,M->N,1788163133.2172158,1.1761746120173484,41.2,-4.0,-2.027080000000657,0.0
1,M->N,1788163133.294292,1.2532505440176465,41.3,-4.0,-2.0393200000006466,0.0
1,M->N,1788163133.4360268,1.394986136991065,41.4,-4.0,-2.051560000000636,0.0
1,M->N,1788163133.5134034,1.4723627559724264,41.4,-4.0,-2.063800000000626,0.0
1,M->N,1788163133.5269935,1.4859524929779582,41.5,-4.0,-2.0760400000006154,0.0
1,M->N,1788163133.6645417,1.6235008749645203,41.6,-4.0,-2.088280000000605,0.0
1,M->N,1788163133.8033576,1.7623166450066492,41.7,-4.0,-2.1005200000005946,0.0
1,M->N,1788163133.9405172,1.8994764710078016,41.8,-4.0,-2.112760000000584,0.0
1,M->N,1788163133.955328,1.9142864749883302,41.8,-4.0,-2.1250000000005738,0.0
1,M->N,1788163134.0301213,1.989080204977654,41.8,-4.0,-2.1372400000005634,0.0
1,M->N,1788163134.1082435,2.067202375968918,41.9,-4.0,-2.149480000000553,0.0
1,M->N,1788163134.2473414,2.206301338970661,42.0,-4.0,-2.1617200000005425,0.0
1,M->N,1788163134.3226686,2.2816279539838433,42.0,-4.0,-2.173960000000532,0.0
1,M->N,1788163134.4017951,2.3607536630006507,42.2,-4.0,-2.1862000000005217,0.0
1,M->N,1788163134.4774497,2.4364088510046713,42.2,-4.0,-2.1984400000005113,0.0
1,M->N,1788163134.5519748,2.5109338790061884,42.2,-4.0,-2.210680000000501,0.0
1,M->N,1788163134.690218,2.6491771239670925,42.3,-4.0,-2.2229200000004905,0.0
1,M->N,1788163134.8301823,2.7891417130012996,42.4,-4.0,-2.23516000000048,0.0
