segment,segment_name,wall_time,wall_elapsed_s,sim_time,x,y,yaw
1,M->N,1787463873.226753,0.0,32.333,-8.498964338520858,4.2825510743343167e-07,0.0009148186742550144
1,M->N,1787463879.2748344,2.570200598973315,35.393,-8.440355112733087,7.432975275252623e-05,0.0032823617935513368
1,M->N,1787463879.3054483,2.6008141259662807,35.461,-8.422681456896841,0.00015051185039897702,0.00617874001666064
1,M->N,1787463879.5239706,2.8193365709739737,35.631,-8.378512368307728,0.000602130553589831,0.015900633907355414
1,M->N,1787463879.5372846,2.83265069097979,35.699,-8.360852230356754,0.0009182485065193872,0.021426649639308237
1,M->N,1787463880.5067687,3.802134743949864,36.209,-8.231711530389699,0.0076325986758222315,0.091514489135269
1,M->N,1787463880.51999,3.8153557219775394,36.277,-8.219315893287916,0.008765244684954208,0.0882053836094582
1,M->N,1787463880.5307057,3.826071832969319,36.345,-8.207757225069452,0.009711380961985622,0.06817447583762454
1,M->N,1787463880.540865,3.8362306999624707,36.413,-8.196331574803652,0.010384007370978452,0.04269271738060423
1,M->N,1787463880.5509572,3.846322823956143,36.481,-8.184793819224778,0.010773839511667098,0.018783146019291038
1,M->N,1787463880.8976917,4.193057453958318,36.685,-8.149347659479389,0.010301132458027856,-0.05122003474347524
1,M->N,1787463881.041571,4.336936807958409,36.787,-8.131190864398862,0.009110752810200629,-0.0861420315578334
1,M->N,1787463881.2573419,4.552707904949784,36.923,-8.106366773515617,0.0064630692607352495,-0.13280387774875316
1,M->N,1787463881.2700992,4.565465190971736,36.991,-8.093783074869293,0.004675155584000489,-0.15619263528853522
1,M->N,1787463881.4127355,4.708101367985364,37.093,-8.074778533956998,0.001403229296106154,-0.19135929469620605
1,M->N,1787463881.5575097,4.852875855984166,37.195,-8.055216230058324,-0.00267726501704168,-0.22663245074204344
1,M->N,1787463881.8405502,5.135916179977357,37.365,-8.022010928619457,-0.011256454471550837,-0.28567616306361254
1,M->N,1787463882.0593867,5.354752452985849,37.535,-7.987329903689636,-0.022455653894732794,-0.34503244885174555
1,M->N,1787463882.2128441,5.508210343949031,37.671,-7.9587289390140805,-0.033409342614395925,-0.39270430182769683
1,M->N,1787463882.495623,5.790989251981955,37.841,-7.9213074447343805,-0.05011614511392358,-0.4524446202142103
1,M->N,1787463882.9851623,6.280528107949067,38.147,-7.85192609830622,-0.08829622555550729,-0.5572866948561406
1,M->N,1787463883.686308,6.981673851958476,38.555,-7.765009628192758,-0.14948438776623738,-0.665751117984374
1,M->N,1787463883.6992376,6.99460348096909,38.623,-7.751141148384329,-0.1605075774897862,-0.6804571891108337
1,M->N,1787463883.709845,7.005210860981606,38.691,-7.737435378331877,-0.17173024335578432,-0.694688914062802
1,M->N,1787463883.7195158,7.014881350973155,38.759,-7.723889482869079,-0.1831434457441323,-0.708410678548647
1,M->N,1787463883.7992313,7.094597381947096,38.861,-7.703863698315814,-0.2006018126407562,-0.7281505584983433
1,M->N,1787463884.5111413,7.806507484987378,39.269,-7.627090610288166,-0.2740216091165626,-0.798369591414045
1,M->N,1787463884.6566508,7.952016646973789,39.371,-7.608688765190511,-0.29317089204100033,-0.8141854126498835
1,M->N,1787463885.1449819,8.440347986994311,39.643,-7.561077783771775,-0.3455884721866723,-0.8541097174340018
1,M->N,1787463885.1587596,8.454125802963972,39.711,-7.549499912954748,-0.35898267678007456,-0.8636810676223894
1,M->N,1787463885.1704335,8.465799400990363,39.779,-7.538050002320987,-0.37248617547480795,-0.8731074423366874
1,M->N,1787463885.24467,8.54003577498952,39.847,-7.526727382435202,-0.38609580824940753,-0.8823883006874779
1,M->N,1787463886.2906852,9.586051341961138,40.425,-7.43545139404491,-0.5056680551552233,-0.9544101596570389
1,M->N,1787463886.3040214,9.599387063994072,40.493,-7.425262701637114,-0.5201423553772674,-0.9617947430659658
1,M->N,1787463886.3148057,9.610171373991761,40.561,-7.415179434504239,-0.534689549125703,-0.9688546180067499
1,M->N,1787463886.3249311,9.620296745968517,40.629,-7.4051981271858365,-0.5493053875940952,-0.9755643489392642
1,M->N,1787463886.335861,9.631226568948478,40.697,-7.395313578496434,-0.5639851810991784,-0.9819159029570736
1,M->N,1787463886.4746954,9.770061282964889,40.799,-7.380658450700414,-0.5861176200623831,-0.9909003932032184
1,M->N,1787463886.8928452,10.188211024971679,41.037,-7.34718341966725,-0.6382163997981921,-1.0084754451044564
1,M->N,1787463887.948454,11.243819888972212,41.615,-7.26860479192728,-0.7663908070612392,-1.0277771496338959
1,M->N,1787463887.9619403,11.257306059997063,41.683,-7.2594692606774744,-0.7815294425707309,-1.0278175025546643
1,M->N,1787463887.972851,11.268216563970782,41.751,-7.2503329145765,-0.7966658954243571,-1.0274904138268517
1,M->N,1787463887.984567,11.279932780948002,41.819,-7.2411894890495665,-0.8117962433196305,-1.0266756496859626
1,M->N,1787463887.994773,11.290138722979464,41.887,-7.232031085003067,-0.8269161943300505,-1.025368693740637
1,M->N,1787463888.1352227,11.430588979972526,41.989,-7.218249469318482,-0.8495683891767267,-1.0225508076899985
1,M->N,1787463888.555295,11.850661657983437,42.227,-7.185774828050527,-0.9022237417079215,-1.0124435111664087
1,M->N,1787463888.5699403,11.86530613398645,42.295,-7.176389864144825,-0.9171988304657598,-1.008713468595556
1,M->N,1787463888.7105427,12.005908865947276,42.397,-7.162202324366772,-0.9395890557117869,-1.002314050305341
1,M->N,1787463889.0639899,12.3593559449655,42.601,-7.133356179579338,-0.9840566773138674,-0.9868058782794862
1,M->N,1787463889.0771086,12.372474620991852,42.669,-7.12358090593776,-0.9987714555090305,-0.9808401700654376
1,M->N,1787463889.2210917,12.516457918973174,42.771,-7.108747827907137,-1.0207289377318685,-0.9711554948497894
1,M->N,1787463890.0555058,13.350872207956854,43.213,-7.041719787086774,-1.1139286624676301,-0.9196565584323252
1,M->N,1787463890.0682516,13.363617313967552,43.281,-7.030965140001839,-1.127936448616439,-0.9106081238397189
1,M->N,1787463890.0790834,13.374449077993631,43.349,-7.02008339875543,-1.1418446867501828,-0.9013335207815288
