segment,segment_name,wall_time,wall_elapsed_s,sim_time,x,y,yaw
5,M->C,1787378368.1909404,0.0,257.178,-8.416611635431096,0.003870085094480698,3.127286616289772
5,M->C,1787378373.7790818,5.015758445020765,261.598,-8.426072796990164,0.03040047759635176,1.8428987986110497
5,M->C,1787378373.7977889,5.034465370001271,261.7,-8.429571584917356,0.04345030432438031,1.8198984898049553
5,M->C,1787378374.1590037,5.395679773995653,261.972,-8.437118969603212,0.07907595431080036,1.731137622223862
5,M->C,1787378374.1724412,5.409117387025617,262.074,-8.439166773189235,0.09273584128463702,1.7047197832146195
5,M->C,1787378374.5208097,5.757487492985092,262.278,-8.442157344465134,0.12046505953231904,1.6465167522904438
5,M->C,1787378374.6667426,5.903419110982213,262.38,-8.443047276095216,0.13455333382465504,1.6173402582209262
5,M->C,1787378374.749196,5.985872383986134,262.482,-8.443539501007674,0.1487688906636294,1.5887960250665294
5,M->C,1787378375.0333781,6.270055292989127,262.652,-8.44342133747684,0.17275777613183546,1.5367859094091318
5,M->C,1787378375.0570214,6.293698066030629,262.754,-8.442715797620151,0.18735497414567995,1.5018327584450637
5,M->C,1787378375.9050636,7.141741022001952,263.23,-8.431187761762512,0.2572676805738153,1.3151880656640476
5,M->C,1787378375.9177647,7.154441100021359,263.298,-8.428377863394713,0.2677073425231064,1.2950392113125746
5,M->C,1787378375.9291754,7.165851482015569,263.366,-8.425284815375518,0.2782626085405447,1.268033811712953
5,M->C,1787378375.938426,7.175101969973184,263.434,-8.421874042251574,0.28879457341181997,1.2387919141914099
5,M->C,1787378376.2930565,7.529732978029642,263.672,-8.40712124345061,0.32639920016692753,1.155018901619142
5,M->C,1787378376.5056024,7.742279605008662,263.808,-8.396787126884004,0.34826477551968954,1.096423537638663
5,M->C,1787378376.5185025,7.755178900028113,263.876,-8.390874382821705,0.35954793170008453,1.0751469623961725
5,M->C,1787378376.5927353,7.829411945014726,263.944,-8.384625145927457,0.37089261350921626,1.0542365068405684
5,M->C,1787378376.7446284,7.981305369001348,264.08,-8.370996350789266,0.3935998900384738,0.9989162430838291
5,M->C,1787378377.0256352,8.262312137987465,264.25,-8.351021357185365,0.4227331338069241,0.9415283561459501
5,M->C,1787378377.7314758,8.968153586029075,264.658,-8.286455856319348,0.49880310324459515,0.8010675946961434
5,M->C,1787378377.7451663,8.981843059998937,264.726,-8.273069209532846,0.5123729519651752,0.779201879321817
5,M->C,1787378377.756184,8.992860481026582,264.794,-8.259355353911358,0.5256398451206012,0.7542946982713808
5,M->C,1787378377.765667,9.002343645028304,264.862,-8.245315783760308,0.5385521977161455,0.7289540450998027
5,M->C,1787378377.8422072,9.078884192975238,264.964,-8.223708865890956,0.5572602055007694,0.6955628856675807
5,M->C,1787378378.3383157,9.57499255798757,265.27,-8.15581298738642,0.6095808728250643,0.6225044558123286
5,M->C,1787378378.8275015,10.064178737986367,265.542,-8.093145075440688,0.65288191603626,0.5896627011649158
